name,scientificName,family,category,lighting,soil,fertilizing,watering
Philodendron,Philodendron,Araceae,indoor,Helles bis mittleres Licht. Kein direktes Sonnenlicht.,Nährstoffreiche durchlässige Blumenerde.,Alle 4 Wochen düngen. Im Winter selten.,Alle 10 Tage. Mäßig gießen.
Calathea,Calathea,Marantaceae,indoor,Mittellicht. Keine direkte Sonne.,Lockere humusreiche Erde. Etwas feucht halten.,Alle 3 Wochen düngen. Im Winter nicht düngen.,Alle 7 Tage. Erde leicht feucht halten.
Fensterblatt,Monstera deliciosa,Araceae,indoor,Mittellicht. Keine direkte Sonne.,Nährstoffreiche gut drainierende Erde.,Alle 3 Wochen düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Palme,Arecaceae,Arecaceae,indoor,Viel Licht. Heller Standort ohne Zugluft.,Torfhaltige gut drainierende Erde.,Alle 4 Wochen düngen. Im Winter selten.,Alle 10 Tage. Mäßig gießen.
Drachenbaum,Dracaena,Asparagaceae,outdoor,Mittellicht. Keine direkte Sonne.,Gut durchlässige Blumenerde. Etwas Sand beigemischt.,Alle 6 Wochen düngen. Im Winter nicht düngen.,Alle 14 Tage. Mäßig gießen.
Grünlilie,Chlorophytum comosum,Asparagaceae,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Blumenerde.,Alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Schusterpalme,Aspidistra elatior,Asparagaceae,indoor,Wenig Licht. Sehr robust.,Lehmige lockere Blumenerde. Gut durchlässig.,Alle 6 Wochen leicht düngen. Im Winter nicht düngen.,Alle 21 Tage. Wenig Wasser.
Farne,Polypodiaceae,Polypodiaceae,indoor,Wenig bis mittleres Licht. Keine Sonne.,Humusreiche leicht saure Erde. Stets leicht feucht.,Alle 4 Wochen düngen. Im Winter selten.,Alle 7 Tage. Gleichmäßig feucht halten.
Zamioculcas,Zamioculcas zamiifolia,Asparagaceae,indoor,Wenig bis mittleres Licht. Verträgt Schatten.,Gut durchlässige Blumenerde. Keine Staunässe.,Alle 8 Wochen leicht düngen. Im Winter nicht düngen.,Alle 21 Tage. Wenig Wasser genügt.
Clivie,Clivia miniata,Amaryllidaceae,indoor,Helles bis mittleres Licht. Kein direktes Sonnenlicht.,Torfhaltige gut drainierende Erde.,Alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 14 Tage. Mäßig gießen.
Yucca-Palme,Yucca,Asparagaceae,indoor,Viel Licht. Direkte Sonne möglich.,Leichte gut drainierende Erde.,Alle 6 Wochen düngen. Im Winter nicht düngen.,Alle 21 Tage. Wenig Wasser.
Amaryllis,Hippeastrum,Amaryllidaceae,indoor,Viel Licht. Sonniger Standort bevorzugt.,Gut durchlässige Blumenerde.,Alle 3 Wochen düngen. Während der Blüte stärker.,Alle 10 Tage. Mäßig gießen.
Weihnachtsstern,Euphorbia pulcherrima,Euphorbiaceae,indoor,Viel Licht. Keine Zugluft.,Humusreiche durchlässige Erde.,Alle 4 Wochen leicht düngen. Nach der Blüte weniger.,Alle 10 Tage. Mäßig gießen.
Begonie,Begonia,Begoniaceae,indoor,Helles Licht. Keine direkte Sonne.,Lockere Blumenerde. Gleichmäßig feucht halten.,Alle 3 Wochen düngen. Im Winter nicht düngen.,Alle 10 Tage. Erde leicht feucht halten.
Gloxinie,Sinningia speciosa,Gesneriaceae,indoor,Mittellicht. Keine Sonne.,Lockere Blumenerde. Leicht feucht halten.,Alle 3 Wochen düngen. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Geranie,Pelargonium,Geraniaceae,indoor,Viel Licht. Sonniger Standort bevorzugt.,Lockere Blumenerde. Gute Drainage wichtig.,Alle 2 Wochen düngen. Während der Blüte häufiger.,Alle 7 Tage. Reichlich gießen.
Lavendel,Lavandula,Lamiaceae,herbal,Viel Licht. Direkte Sonne erwünscht.,Durchlässige sandige Erde. Kein Torf.,Alle 8 Wochen leicht düngen. Im Winter nicht düngen.,Alle 14 Tage. Wenig Wasser.
Basilikum,Ocimum basilicum,Lamiaceae,herbal,Viel Licht. Warm und windgeschützt.,Lockere humusreiche Erde. Gleichmäßig feucht.,Alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 3 Tage. Mäßig gießen.
Rosmarin,Salvia rosmarinus,Lamiaceae,herbal,Mittellicht. Verträgt direkte Sonne.,Humusreiche durchlässige Erde. Keine Staunässe.,Alle 8 Wochen schwach düngen. Im Winter nicht düngen.,Alle 14 Tage. Mäßig gießen.
Zitronenmelisse,Melissa officinalis,Lamiaceae,indoor,Mittellicht. Halbschattig verträglich.,Lockere humusreiche Erde mit guter Drainage.,Einmal im Frühling leicht düngen. Im Sommer alle 14 Tage möglich.,Alle 7 Tage. Boden stets leicht feucht halten.
Majoran,Origanum majorana,Lamiaceae,herbal,Mittellicht. Keine pralle Sonne.,Humusreiche durchlässige Erde.,Alle 4 Wochen düngen während Wachstum. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig gießen.
Thymian,Thymus,Lamiaceae,herbal,Mittellicht. Volle Sonne möglich.,Durchlässige eher magere Erde.,Einmal im Monat leichter Dünger. Im Winter nicht düngen.,Alle 7 Tage. Sparsam gießen.
Chili,Capsicum,Solanaceae,indoor,Mittellicht. Viel Sonne vorteilhaft.,Gut drainierende Blumenerde.,Einmal im Monat düngen. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Pfefferminze,Mentha × piperita,Lamiaceae,herbal,Mittellicht. Halbschatten möglich.,Feuchte humusreiche Erde.,Leichter Frühjahrsdünger. Im Sommer alle 4 Wochen.,Alle 5 Tage. Feucht halten.
Kapuzinerkresse,Tropaeolum majus,Tropaeolaceae,herbal,Mittellicht. Keine starke Sonne.,Lockere humusreiche Erde.,Alle 14 Tage mäßig düngen. Im Winter nicht düngen.,Alle 10 Tage. Gleichmäßig feucht.
Petunie,Petunia,Solanaceae,indoor,Warmes Licht bevorzugt. Kein tiefer Schatten.,Humusreiche durchlässige Erde.,Einmal im Monat düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Stiefmütterchen,Viola,Violaceae,indoor,Mittellicht. Kein direktes Sonnenlicht.,Durchlässige humusreiche Erde.,Leichter Frühjahrsdünger. Im Sommer alle 4 Wochen.,Alle 14 Tage. Mäßig gießen.
Primel,Primula,Primulaceae,indoor,Wenig Licht möglich. Kein grelles Licht.,Gut durchlässige Blumenerde.,Einmal im Frühling düngen.,Alle 3 Tage. Feucht gießen.
Anthurie,Anthurium,Araceae,indoor,Mittellicht. Kein direktes Sonnenlicht.,Locker durchlässige Erde mit Torfanteil.,Einmal im Monat düngen. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig gießen.
Calla,Zantedeschia,Araceae,indoor,Mittellicht. Halbschatten möglich.,Feuchte humusreiche Erde.,Alle 14 Tage düngen. Im Winter selten.,Alle 10 Tage. Feucht halten.
Hibiskus,Hibiscus rosa-sinensis,Malvaceae,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 14 Tage düngen. Im Winter weniger.,Alle 3 Tage. Mäßig gießen.
Friedenslilie,Spathiphyllum,Araceae,indoor,Viel Licht. Halbschatten möglich.,Humusreiche durchlässige Erde. Keine Staunässe.,Alle 2 Wochen schwach düngen. Im Winter selten.,Alle 7 Tage. Feucht halten.
Tillandsie,Tillandsia,Bromeliaceae,indoor,Viel Licht. Keine direkte Sonne.,Luft- bzw. sehr lockere Substrate. Kein dichter Boden.,Keine oder sehr sparsame Düngung. Im Winter aussetzen.,Alle 7 Tage. Leicht besprühen.
Passionsblume,Passiflora,Passifloraceae,indoor,Viel Licht. Sonniger Standort.,Leichte humusreiche Erde. Gute Drainage.,Im Frühling leichte Düngung. Im Sommer alle 4 Wochen.,Alle 7 Tage. Ausreichend gießen.
Kamelie,Camellia japonica,Theaceae,indoor,Wenig Licht. Helles kühles Umfeld.,Säurehaltige gut durchlässige Erde.,Leichte Düngung im Frühling. Im Sommer gelegentlich.,Alle 14 Tage. Mäßig gießen.
Engelstrompete,Brugmansia,Solanaceae,indoor,Mittellicht. Keine pralle Sonne.,Humusreiche durchlässige Erde.,Von Frühling bis Sommer alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 5 Tage. Reichlich gießen.
Zimmerlinde,Sparrmannia africana,Malvaceae,outdoor,Viel Licht. Indirektes Licht vorteilhaft.,Lockere gut drainierende Erde.,Alle 3 Monate schwach düngen. Im Winter nicht düngen.,Alle 14 Tage. Mäßig gießen.
Weinrebe,Vitis,Vitaceae,outdoor,Viel Licht. Sonnig bevorzugt.,Gut durchlässige humusreiche Erde.,Leichte Düngung im Frühling. Im Sommer alle 4 Wochen.,Alle 14 Tage. Mäßig gießen.
Papyrus,Cyperus papyrus,Cyperaceae,indoor,Viel Licht. Kein direktes Sonnenlicht.,Humusreiche wasserspeichernde Erde.,Alle 3 Monate mäßig düngen.,Alle 10 Tage. Feucht halten.
Kängurublume,,,indoor,Wenig Licht. Diffuses Licht genügt.,Gut durchlässige leichte Erde.,Leichte Düngung im Frühling.,Alle 10 Tage. Mäßig gießen.
Zimmeraralie,,,indoor,Wenig Licht. Helles indirektes Licht.,Durchlässige humusreiche Erde.,Von Frühling bis Sommer alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Zitronenbaum,Citrus × limon,Rutaceae,outdoor,Viel Licht. Sonniger Standort.,Leichte humusreiche Erde.,Alle 4 Wochen düngen. Im Winter selten.,Alle 5 Tage. Mäßig gießen.
Olivenbaum,Olea europaea,Oleaceae,outdoor,Viel Licht. Volle Sonne verträglich.,Durchlässige leicht sandige Erde.,Leichte Frühjahrsdüngung.,Alle 5 Tage. Mäßig gießen.
Mimosen,,,indoor,Wenig Licht. Helles schattiges Umfeld.,Lockere humusreiche Erde.,Von Frühling bis Sommer alle 4 Wochen düngen. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Azalee,Rhododendron simsii,Ericaceae,indoor,Wenig Licht. Kühle helle Lage.,Saurer humusreicher durchlässiger Boden.,Einmal im Monat mäßig düngen. Im Winter nicht düngen.,Alle 3 Tage. Feucht halten.
Bougainvillea,Bougainvillea,Nyctaginaceae,indoor,Mittellicht. Mehr Sonne vorteilhaft.,Gut drainierende torfhaltige Erde.,Alle 3 Monate schwach düngen. Im Winter nicht düngen.,Alle 5 Tage. Reichlich gießen.
Fuchsie,Fuchsia,Onagraceae,indoor,Wenig Licht. Vermeide pralle Sonne.,Locker durchlässige Erde.,Leichte Düngung im Sommer. Im Winter einstellen.,Alle 7 Tage. Mäßig gießen.
Hortensie,Hydrangea macrophylla,Hydrangeaceae,outdoor,Wenig Licht. Heller schattiger Standort.,Lockere humusreiche Erde.,Nur im Frühling leicht düngen.,Alle 10 Tage. Feucht halten.
Kalanchoe,Kalanchoe,Crassulaceae,cacti,Mittellicht. Indirektes Sonnenlicht.,Lockere durchlässige Erde.,Nur im Frühling leicht düngen.,Alle 10 Tage. Sparsam gießen. Erde zwischen den Wassergaben antrocknen lassen.
Kranzschlinge,,,indoor,Mittellicht. Keine direkte Sonne.,Durchlässige humusreiche Erde.,Alle 2 Wochen mäßig düngen. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Lilien,,Liliaceae,indoor,Mittellicht. Keine Mittagssonne.,Gut durchlässige humusreiche Erde.,Alle 3 Monate leicht düngen. Im Winter nicht düngen.,Alle 3 Tage. Mäßig gießen.
Margerite,Leucanthemum vulgare,Asteraceae,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Leichte Düngung im Frühling. Im Sommer selten.,Alle 10 Tage. Mäßig gießen.
Nelke,,,indoor,Viel Licht. Sonnig bevorzugt.,Durchlässige humusreiche Erde.,Alle 2 Wochen düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Oleander,Nerium oleander,Apocynaceae,indoor,Viel Licht. Volle Sonne möglich.,Saurer durchlässiger Boden.,Nur im Frühling leicht düngen.,Alle 5 Tage. Mäßig gießen.
Pelargonie,Pelargonium,Geraniaceae,indoor,Viel Licht. Sonnig bevorzugt.,Lockere gut drainierende Erde.,Leichte Düngung im Frühling. Im Sommer alle 4 Wochen.,Alle 5 Tage. Reichlich gießen.
Portulakröschen,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige humose Erde.,Kein oder sehr schwacher Dünger.,Alle 10 Tage. Mäßig gießen.
Rhipsalis,,,indoor,Wenig Licht. Indirektes Licht genügend.,Durchlässige Erde mit gutem Luftanteil.,Leichte Düngung im Frühling.,Alle 7 Tage. Mäßig gießen.
Schefflera,Schefflera arboricola,Araliaceae,indoor,Mittellicht. Kein direktes Sonnenlicht.,Lockere durchlässige Erde.,Nur im Frühling leicht düngen.,Alle 3 Tage. Mäßig gießen.
Sonnenblume,Helianthus annuus,Asteraceae,indoor,Viel Licht. Volle Sonne notwendig.,Gut drainierende humusreiche Erde.,Leichte Frühjahrsdüngung.,Alle 3 Tage. Reichlich gießen.
Steckpalme,,Arecaceae,indoor,Viel Licht. Heller Standort.,Sehr durchlässige Erde.,Einmal im Monat leicht düngen. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Usambaraveilchen,Saintpaulia,Gesneriaceae,indoor,Viel Licht. Hell aber kein direktes Sonnenlicht.,Lockere durchlässige Erde.,Einmal im Monat schwach düngen. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Veilchen,Viola,Violaceae,indoor,Wenig Licht. Heller Schattenspot.,Durchlässige humusreiche Erde.,Einmal im Monat mäßig düngen. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Wachsblume,,,indoor,Viel Licht. Sonniger Standort.,Torfhaltige durchlässige Erde.,Einmal im Monat schwach düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Zinnie,,,indoor,Mittellicht. Sonnig gelegentlich.,Torfhaltige gut drainierende Erde.,Alle 3 Monate leicht düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Zitronenbasilikum,Ocimum × citriodorum,Lamiaceae,herbal,Viel Licht. Sonnig und warm.,Lockere humusreiche Erde.,Einmal im Monat schwach düngen. Im Winter nicht düngen.,Alle 3 Tage. Mäßig gießen.
Aubergine,Solanum melongena,Solanaceae,indoor,Viel Licht. Volle Sonne ideal.,Lockere gut drainierende Erde.,Kein oder leichter Dünger.,Alle 5 Tage. Mäßig gießen.
Tomate,Solanum lycopersicum,Solanaceae,outdoor,Mittellicht. Sonnig bevorzugt.,Humusreiche durchlässige Erde.,Alle 14 Tage kräftig düngen. Im Winter nicht düngen.,Alle 14 Tage. Reichlich gießen.
Paprika,Capsicum annuum,Solanaceae,indoor,Viel Licht. Sonniger Standort.,Humusreiche durchlässige Erde.,Einmal im Monat schwach düngen. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Gurke,Cucumis sativus,Cucurbitaceae,outdoor,Viel Licht. Direkte Sonne möglich.,Humusreiche gut drainierende Erde.,Einmal im Monat leicht düngen. Im Winter nicht düngen.,Alle 5 Tage. Reichlich gießen.
Salat,Lactuca sativa,Asteraceae,outdoor,Viel Licht. Sonnig oder hell.,Lockere humose Erde.,Wöchentlich düngen während Wachstum.,Alle 3 Tage. Reichlich gießen.
Kürbis,,,outdoor,Viel Licht. Volle Sonne bevorzugt.,Gut drainierende Erde.,Einmal im Monat leicht düngen. Im Winter nicht düngen.,Alle 5 Tage. Reichlich gießen.
Zucchini,Cucurbita pepo,Cucurbitaceae,outdoor,Viel Licht. Sonnig bevorzugt.,Lockere humose Erde.,Wöchentlich düngen während Wachstum.,Alle 7 Tage. Reichlich gießen.
Bohne,,,indoor,Viel Licht. Volle Sonne.,Durchlässige humusreiche Erde.,Einmal im Monat schwach düngen. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Erbse,,,indoor,Mittellicht. Sonnig möglich.,Humusreiche Erde mit guter Drainage.,Alle 14 Tage düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Spinat,,,outdoor,Viel Licht. Helles Umfeld.,Humusreiche frische Erde.,Wöchentlich düngen während Wachstum.,Alle 5 Tage. Feucht halten.
Mangold,,,outdoor,Viel Licht. Sonnig bevorzugt.,Lockere humose Erde.,Einmal im Monat schwach düngen. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Rucola,,,indoor,Mittellicht. Heller Standort.,Durchlässige Erde.,Alle 3 Monate leicht düngen. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Chinakohl,,,outdoor,Mittellicht. Kein grelles Licht.,Lockere humusreiche Erde.,Leichte Frühjahrsdüngung.,Alle 3 Tage. Mäßig gießen.
Petersilie,Petroselinum crispum,Apiaceae,herbal,Mittellicht. Heller Standort.,Humusreiche durchlässige Erde.,Einmal im Frühling schwach düngen.,Alle 10 Tage. Mäßig gießen.
Dill,Anethum graveolens,Apiaceae,herbal,Mittellicht. Keine pralle Sonne.,Torfhaltige durchlässige Erde.,Alle 7 Tage mäßig düngen während Wachstum.,Alle 7 Tage. Mäßig gießen.
Schnittlauch,Allium schoenoprasum,Amaryllidaceae,herbal,Viel Licht. Sonnig bevorzugt.,Durchlässige humusreiche Erde.,Alle 5 Wochen mäßig düngen während Wachstum.,Alle 5 Tage. Feucht halten.
Lauch,,,indoor,Viel Licht. Sonnig bevorzugt.,Lockere humose Erde.,Alle 5 Wochen schwach düngen.,Alle 5 Tage. Mäßig gießen.
Brokkoli,,,indoor,Viel Licht. Sonnig bevorzugt.,Humusreiche durchlässige Erde.,Alle 14 Tage düngen.,Alle 3 Tage. Ausreichend gießen.
Blumenkohl,,,outdoor,Mittellicht. Sonnig möglich.,Durchlässige humusreiche Erde.,Alle 14 Tage düngen.,Alle 10 Tage. Mäßig gießen.
Rosenkohl,,Rosaceae,outdoor,Mittellicht. Sonnig möglich.,Durchlässige humusreiche Erde.,Einmal im Monat schwach düngen.,Alle 3 Tage. Mäßig gießen.
Monstera deliciosa,,Araceae,indoor,Helles indirektes Licht. Keine direkte Mittagssonne.,Lockere humusreiche Erde mit Perlite. Gute Drainage.,Alle 2 Wochen düngen von April bis September. Im Winter nicht düngen.,Alle 7 Tage. Erde zwischen Gießen leicht antrocknen lassen.
Monstera adansonii,,Araceae,indoor,Helles indirektes Licht. Morgen- oder Abendsonne verträglich.,Lockere durchlässige Erde mit Torf und Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Pilea peperomioides,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Blumenerde. Gute Drainage.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Erde zwischen Gießen antrocknen lassen.
Alocasia zebrina,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche Erde mit Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Alocasia Polly,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde mit Drainage.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Strelitzie,,,indoor,Viel Licht. Direkte Sonne möglich.,Lehmige nährstoffreiche Erde. Gute Drainage.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Geigenfeige,Ficus lyrata,Moraceae,outdoor,Helles indirektes Licht. Keine Zugluft.,Gut durchlässige nährstoffreiche Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Erde leicht antrocknen lassen.
Pfeilblatt,,,indoor,Helles indirektes Licht. Keine Mittagssonne.,Lockere humusreiche Erde mit Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Korbmarante,Calathea,Marantaceae,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde. Gleichmäßig feucht.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Dieffenbachia,Dieffenbachia,Araceae,indoor,Mittleres bis helles Licht. Keine direkte Sonne.,Lockere humusreiche Blumenerde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Croton,,,indoor,Viel helles Licht. Etwas direkte Sonne verträglich.,Nährstoffreiche durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Dracaena marginata,,,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Gut durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Erde zwischen Gießen antrocknen lassen.
Dracaena fragrans,,,indoor,Mittleres Licht. Verträgt Halbschatten.,Gut durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Baumfreund,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde mit Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Kolbenfaden,,,indoor,Wenig bis mittleres Licht. Schattenverträglich.,Lockere durchlässige Blumenerde.,Alle 4 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Zebrakraut,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche Blumenerde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Geldbaum,Crassula ovata,Crassulaceae,outdoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Elefantenfuß,,,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende sandige Erde.,Alle 6 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sparsam gießen.
Wunderstrauch,,,indoor,Helles Licht. Etwas direkte Sonne verträglich.,Nährstoffreiche durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Purpurtute,,,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Peperomia obtusifolia,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde. Gute Drainage.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Peperomia caperata,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde mit Perlite.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Nestfarn,,Polypodiaceae,indoor,Wenig bis mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde. Stets leicht feucht.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Schwertfarn,Nephrolepis,Nephrolepidaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Torfhaltige lockere Erde. Stets leicht feucht.,Alle 4 Wochen düngen im Sommer. Im Winter selten.,Alle 5 Tage. Gleichmäßig feucht halten.
Frauenhaarfarn,,Polypodiaceae,indoor,Wenig Licht. Keine direkte Sonne. Hohe Luftfeuchtigkeit.,Torfhaltige lockere Erde. Stets feucht halten.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Hirschgeweihfarn,,Polypodiaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockeres Substrat aus Rinde und Moos.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Besprühen und feucht halten.
Kentia-Palme,,Arecaceae,indoor,Helles bis mittleres Licht. Verträgt Schatten.,Gut durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Bergpalme,Chamaedorea elegans,Arecaceae,indoor,Wenig bis mittleres Licht. Keine direkte Sonne.,Gut durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Strahlenaralie,,,indoor,Helles indirektes Licht. Keine Mittagssonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
